french,nature,eton
serpent (sp),n.,ù-kóm
serré (être_),v.,kág
serré (être_),v.,kágdân
serrer,v.,kág
serrure,n.,ɛ̀-ŋgòŋ
service (sp),n.,ì-yóm
servir (se ),v.,lə̀mdə̀
servir (se de),v.,g͡bɛ̀ɛ̀nì èè
serviteur,n.,ì-túgâ
ses,pro.,-ě
ses,pro.,-ɔ̀
seul,n adj.,ì-tám
seul,n adj.,ì-tə́támá
seulement,adv.,bə́ŋ
sevrage,n.,ì-cìlà
sexe,n.,zùd
sexuels (rapports ),n.,ì-bóŋ
s’habiller de,v.,dál
si,sub.,ŋgə́
siffler,v.,lɔ́ŋ
sifflet,n.,ì-lɔ́ŋ
sifflotement,n.,ù-lə́lɔ́ŋ
siège,n.,ì-tɔ̌
signe,n.,ndə̀m
signer,v.,sán
signification,n.,ndìmzàná
signifier,v.,tììnì
silence (sp),n.,ì-kù ndìm
silencieux,adv.,pɔ́m
silencieux,n adj.,ì-ndìndìmà
silencieux,n adj.,ì-vóbó
silhouette,n.,ɲ̀-cíꜜɲcím
sillon,n.,ɛ̀-bóm
simplement,adv.,bə́ŋ
simuler,v.,bád
simulie (sp),n.,ù-bǐg
simulie (sp),n.,ù-pìŋgwě
s’incruster,v.,ŋgànbà
s’incruster,v rés.,ŋgàná
singe,n.,kwé
singe (sp),n.,cígdî
singe (sp),n.,ɛ̀-sùná
singe (sp),n.,ì-súm
singe (sp),n.,mbínâ
singe (sp),n.,ɲ̀-càg
singe (sp),n.,pùŋ
singe (sp),n.,sósô
singe (sp),n.,ù-ŋgɛ̌z
singe (sp),n.,ù-sǒg
singe (sp),n.,ù-tə́m kóy
sinistre,n.,ɛ̀-màlá
s’installer,v rés.,ŋgàná
s’interdire,v.,cì
sissongo,n.,ì-sòŋ
sissongo,n.,mì-sɔ̀ŋ
sissongo (bourgeons de ),n.,mì-sɔ̀ŋ
sitatunga,n.,ì-mbùl
six,adj.,-sàmnì
six,num.,sàmnì
sélectionner,v.,pyàlì
sélectionner,v.,tɔ́b
sélectionner,v.,twáb
slip,n.,ŋ̀-káná
s’émerveiller,v.,kám
séminariste,n adj.,ǹ-tɔ́gɔ̂
société secrète,n.,ŋmg͡bɛ́l
soie (maïs),n.,zə̀ŋgà
soif,n.,ì-kódí
soigner,v.,pílî
soigner,v.,túŋlâ
soigner,v.,yáŋ
soigner,v.,yáŋnì
soigner (se ),v.,sáábân
soigner (sp),v.,jàlì
soin (prendre de),v.,kálâ
soin (traiter avec ),v.,nə̀ŋlə̀
soir,n.,ŋgògí
soir,n.,ŋgǔꜜŋgógó
sol,n.,sí
Solanum macrocarpon,n.,zɔ́ŋ
soldat (termite),n.,ì-kàdì
soleil,n.,ǹnó ꜜdóbô
soleil,n.,vyǎn
soliloquer,v.,dɔ̀gdàn
solitaire,n.,kɛ́dgə́ ítámá
solitude,n adj.,ì-tám
solitude,n adj.,ì-tə́támá
solliciter une intervention,v.,kàlì
solo (chanter ),v.,láŋdânà
sombrer,v.,dímâ
sommeil,n.,ù-jɔ́
sommet,n.,mbòmbòd
somnoler,v.,ndə̀ŋ
son,pro.,-ě
son,pro.,-ɔ̀
songo,n.,sɔ̀ŋɔ́
œsophage,n.,ì-ŋgɔ̀ŋ
sorcellerie,n.,ŋmg͡bɛ́l
sorcier,n.,ŋm̀-g͡bə́ŋmg͡bɛ́l
sorcier,n.,ɲ̀-ɲə̀mə̀
sortant,n.,ì-pə́pâmà
sorte,n.,ì-bə̀gá
sortir,v.,pám
sortir (sp),v.,vám
sottise,n adj.,zə̀zè
souche,n.,ì-kǔm
soucier (se ),v.,táŋâ
soudainement,idéo.,ɛ̀bǒm
souffle,n.,m̀-vòzbò
souffle,n.,ndàm
souffle,n.,pə̀b
souffler,v.,jìdì
souffler,v.,pə̀b
souffler,v.,sə́gzân
souffler,v.,vúŋlâ
souffrance,n.,ì-tíblá
souffrir,v.,jùgì
souffrir,v.,kwàn
souffrir (faire ),v.,tíblá
souhaitable (être_),v.,sílâ
souhaiter,v.,tám
soulard,n.,ŋ̀-wû mə̀jɔ̀gɔ̀
soulever,v.,tə́
soulever (sp),v.,sə́gdə̂
soulèvement,n.,ǹ-tééní
soumission,n.,mə̀-wóg
soupe,n.,m̀-pyáŋ
soupe (sp),n.,zɔ́ŋ
soupir,n.,m̀-vòzbò
souple (devenir ),v.,sə́g
source,n.,ì-tàm
sourd,n.,ǹ-də́ndɔ́g
sourire,n.,mə̀-múŋ
sourire,v.,múŋ
souris,n.,ì-dù
souris (sp),n.,mbə́n
sous-vêtement,n.,sáꜜŋgélézí
soutenir,v.,súg
soutenir (se ),v rés.,yə́gə̂
soutien-gorge,n.,bwàdí
souvenance,n adj.,ù-bíz
souvenir (se de quelque chose),v.,còg
souvent (faire),q aux.,dìŋ
spatule,n.,m̀-mǎy
spatule,n.,m̀-mə̌b
sperme,n.,mə̀-jóm
sperme,n.,ndə̌m
spondias dulcis,n.,kàzmáŋâ
sépulture,n.,sɔ̀ŋ
squelettique,n adj.,ŋ̀-kód
sésame,n.,ɲádâ
Stachyothyrsus staudtii,n.,ì-kǎŋ
stationnement,n.,bán
Sterculia rhinopetala,n.,ŋ̀-kànə̀ŋ
sterculiacée (sp),n.,à-jòz
sterculiacée (sp),n.,ɛ̀-bɛ̌l
sterculiacée (sp),n.,ŋ̀-kànə̀ŋ
sternum,n.,ù-ŋgòn
s’étirer,v.,hɛ́d
s’étonner,v.,kám
strabisme,n adj.,mì-lə́ŋ
strabisme,n adj.,mìŋ-kə́ŋ
stérile,n adj.,ŋ̀-kə̀ŋkóm
strophantus,n.,ì-nèy
subir les conséquences d’une transgression,v.,vúzlâ
substance granuleuse,n.,ŋ̀-kùŋ
succéder,v.,tó
succès,n.,ŋ̀-kàbní
succès (avoir ),v.,nə̀g
sucer,v.,sɔ́bdɔ̂
sucer,v.,swáz
sucer,v.,víb
sucré,n.,ì-zə̀zə̀g
sucré (être_),v.,zə̀gbàn
sucré (très ),n adj.,ì-ŋmg͡bə̀ŋmg͡bə̀g
sucrerie,n.,ì-zə̀zə̀g
suffisance,n.,à-ŋgɔ̀ŋɔ̀
suie,n.,pìdà
suinter,v.,jólə̂
suinter,v.,sáb
suinter,v.,sɔ́
suinter,v.,tɔ́
suivant,n adj.,ì-tógnì
suivre,v.,cág
suivre,v.,tó
suivre,v.,tòŋ
supplier,v.,jàgì
supplier,v.,kòglàn èè
supplier,v.,lɔ́
support,n.,ɛ̀-lìm
support,n.,ɛ̀-yə́gbə́
support,n.,ì-súùgà
supporter,v.,jíbâ
supporter,v.,mbɛ̀nbə̀
supporter,v.,mìn
supporter,v.,zòmò
sœur,n.,kál
sœur,n.,mɔ̌ꜜjáŋ
sœur (ma ),n.,mɔ̌ ꜜtádá
sœur (ma ),n.,mwǎn ꜜmáŋá
sœur (sa ),n.,mɔ̌ꜜɲáŋ
sœur (ta ),n.,mɔ̌ꜜɲɔ́ŋ
surdité,n.,ndɔ́g
surmener,v.,tə̀g
surnom,n.,mə̀-bádnà
surpasser,v.,lòd
surplus,n.,mbùg
surprendre,v.,dìbgànà
surprendre,v.,sìlgànà
surpris (être_),v.,pòdbò
sursauter,v.,sìlgàn
sursauter,v.,sìlgàn
surtout,adv.,áꜜdáŋdâŋ
surtout,q aux.,dàŋ
surveillant,n.,m̀-màglà
surveiller,v.,bàglà
survivre,v.,və̀ə̀bə̀
s’user,v.,síbâ
suspect,n adj.,kúꜜkúlá
suspecter,v.,kpə́
suspendre,v.,kɛ̀lì
suspendu (être_),v rés.,ságbâ
sève,n.,ɛ̀-cíl
sève,n.,ɛ̀-kə́mdâ
sève,n.,mə̀-kə́mdâ
sève de rocou,n.,lélê àwúsá
sévère (être_),v.,jɔ́gbɔ̂
symbole,n.,ndə̀m
sympathique,n adj.,ù-sə̀sà
sympathiser,v.,mbóònì
Syncerus caffer,n.,ɲád
tabac,n.,tàgà
tabac (sp),n.,ɲ̀-cwàn
table,n.,tə́blə̂
tache,n.,ɛ̀-twán
taciturne,n adj.,ì-ndìndìmà
taciturne,n adj.,ì-vóbó
tacle,n.,cáz
tacle,n.,ù-bàg
tacler,v.,cáz
étagère,n.,ì-tág
taille,n.,ɛ̀-ŋgɛ́dgí
taille,n.,ǹ-tə́
taille,n adj.,à-jǎb
taille remarquable (tubercule),n adj.,pɔ̀ɔ́m
tailler,v.,bà
tailler,v.,sə́g
tailler en pointe,v.,sɔ́ŋdɔ̂
tailler (sp),n.,ɛ̀-sɛ́lî
tailler (sp),v.,sɛ́lî
talapoin,n.,ù-ŋgɛ̌z
talent,n adj.,à-kə́ŋ
étaler,v.,ɲɛ̀d
étaler,v.,sɛ̀d
tali,n.,ì-lón
talon,n.,ì-kílŋgìz
tambour (sp),n.,ì-ndɔ̀m
tambour (sp),n.,m̀-mày
tambour (sp),n.,ŋgɔ̀m
tamis,n.,ì-kùdgà
tamis,n.,ì-sə̀gzə̀
tamiser,v.,sə̀gzə̀
tam-tam,n.,ŋ̀-kúl
tanière,n.,ŋm̀-ŋmǐl
tante,n.,sáŋá
tante,n.,swáŋɔ́
taon,n.,ù-sún
étape,n.,ì-tə́
taper,v.,bímî
taper,v.,bɔ̀b
taquiner,v.,bàgì
tard,adv.,mbúmbúâ
tarder,v.,dɛ̀nbə̀
taro,n.,ɛ̀-bàŋà ɛ́ ŋkômò
tas,n.,ɛ̀-ŋgóz
tas (sp),n.,ɛ̀-tùmá
tasse,n.,kɔ́b
état,n.,ì-tə́
Tchad,n.,cád
teck,n.,à-bàŋ ńtáŋní
teigne,n.,ɛ̀-kɔ̌
teigne,n.,mə̀-kɔ̌
éteindre,v.,dímâ
teinture d’iode,n.,ndwân
teinture (sp),n.,dáŋâ
téméraire,n adj.,à-tód
temps,n.,ɛ̀-bǒg
temps,n.,ɛ̀-pólô
tenace,n adj.,à-tód
tenace (être_),v.,jɔ́gbɔ̂
tenailler,v.,pìmlà
tenailles,n.,cáŋâ
tendon (sp),n.,ɲ̀-ɲóm ɲ́ꜜcíz
tendre,idéo.,bùd bùd
tendre,n adj.,bùdùg
tendre,n adj.,ì-bùbùd
tendre,v.,sám
tendre (corde),v.,límî
tendre (devenir ),v.,tə̀g
tendre (pièges),v.,lám
tendre un piège,v.,kɔ̀blɔ̀
tendresse,n.,à-tə̀g ńnə́m
étendu (être_),v rés.,bô
tenir raidement debout (se ),v rés.,límâ
tenir (se comme sur des échasses),v.,ndágbâ
tenter,v.,bóblô
tenter,v.,kùd
tenue,n.,m̀-mwád
tenue de deuil,n.,mə̀-jə̀b
terme,n.,ì-búg
Terminalia superba,n.,à-kɔ̀m
terminer,v.,mànà
termite,n.,ndòn
termite (sp),n.,by-àm
termite (sp),n.,ì-kàdì
termite (sp),n.,ì-mbə̀mbə́ŋ
termite (sp),n.,káb
termite (sp),n.,kólwónó
termite (sp),n.,kwád
termite (sp),n.,kwàd
termite (sp),n.,pɛ́lgí
termite (sp),n.,síl
termite (sp),n.,sómló
termites (sp),n.,bì-càgà
termites (sp),n.,bì-wàz
termites (sp),n.,ì-lə́láŋ
termitière (sp),n.,ɛ̀-sómló
éternuer,v.,sə́mlə̂
terrasser,v.,pùmlà
terre,n.,cà
terre,n.,sí
terrible,n.,d-àm
terrible,n adj.,m̀-mə̂
terrier,n.,ŋm̀-ŋmǐl
tester,v.,pìzì
testicule,n.,ɛ̀-bìn
testicule,n.,m̀-mǎŋ
tégument,n.,ì-vùl
thon,n.,tɔ́ŋ
Thryonomys swinderianus,n.,mbə́b
tibia,n.,ŋgɔ́ŋlɔ́
tic,n.,púúlá
tige,n.,ɛ̀-tín
timide,n adj.,ù-sùsùdà
étincelle,n.,kâg
tique,n.,kób
étiré,n adj.,ɲ̀-còg
tirefort,n.,jə́g
tirer,v.,dùd
tirer,v.,dùùdà
étirer,v.,hɛ́d
tirer,v.,límdâ
étirer,v.,ndàmì
tirer (ballon),v.,bímî
tirer (fusil),v.,lúm
tirer (fusil),v.,sɔ̀
étirer (s’_ ),v.,límdân
tisser,v.,tìŋ
tissu (sp),n.,sàzà
tissu (sp),n.,sə̀gə̀
titre,n.,ŋ̀-kóŋ
tituber,v.,pə̀ŋlə̀
tôle,n.,ì-kpə́mí
téléphone,n.,ŋ̀-kwǎl
étoffe,n.,ì-kòb íjə́
étoile,n.,ù-tə́tɛ̂d
toile d’araignée,n.,ndɛ̀n
étoile filante,n.,ù-tə́tɛ̂d
toilettes,n.,ì-dúg
toilettes,n.,m-òd àtán
toit,n.,ǹ-nwǐ
toit (sp),n.,ɛ̀-ŋgàg
toko,n.,ɛ̀-wóngí
tolérer,v.,jíbâ
tolérer,v.,mìn
tomate,n.,tòmád
tombe,n.,sɔ̀ŋ
tombeau,n.,sɔ̀ŋ
tomber,q aux.,pɔ́lgân
tomber,v.,kù
tomber accidentellement,v.,g͡bàŋbàn
tomber (faire ),v.,kpə̀zə̀
tomber (sp),v.,páz
éton,n.,ì-tón
étonné,n.,ŋ̀-kámə́n
tonneau,n.,káz
étonnement,n.,ŋ̀-kámə́n
étonner (s’_ ),v.,kám
tonnerre,n.,ŋgál î mbə̀ŋ
tontine,n.,ì-sùznì
tontine,n.,ǹjàŋá
tordre (se ),v.,nɔ̀glàn
tordre (se ),v.,ɲwàglàn
tordu,n adj.,ŋ̀-kwád
tornade,n.,ŋ́kûlà
tortue,n.,kúlâ
totalement,adv.,lìbìg
toucan,n.,kúngí
toucan,n.,ŋm̀-ŋmǎm
toucan (sp),n.,ì-kpá í ꜜŋmám
toucher,v.,kòm
toucher,v.,nàmà
touiller,v.,sáb
toujours,adv.,kɔ́m
toujours,n.,kwám
toujours (être_),v.,ŋgɛ́nâ
tour (faire ),v.,bɔ́glânà
tour (faire un ),v.,pə̀ŋlànà
touraco,n.,ŋm̀-ŋmǎm
touraco (sp),n.,ì-kpá í ꜜŋmám
touraco (sp),n.,kúngí
étourdi,n.,ù-ndúndúmgân
tournant,n.,ɛ̀-kwád
tourner,v.,cìŋlàn
tourner autour,v.,cìŋlàn
tourner (faire ),v.,cìŋlànà
tourner (nourriture),v.,sùn
tourner (sp),v.,cíbdâ
tourniole,n.,d-òngò
tourteau,n.,ì-jám
tousser,v.,kwáz
tout,adj.,-sə̀
toux,n.,ì-kɔ́zî
trace,n.,ɛ̀-bɔ̀
traduction,n.,ndìmzàná
traduire,v.,tìmzànà
Tragelaphus scriptus,n.,ŋ̀-kɔ́g
Tragelaphus scriptus,n.,són
Tragelaphus spekei,n.,ì-mbùl
trahir,v.,kə́m
trahir,v.,nə̀mì
trahir,v.,sámlâ
train,n.,̀ɲ̀-cínâ
trait,n.,ǹ-tɛ̌n
trait caractériel,n.,púúlá
traiter (sp),v.,nə̀ŋlə̀
tranchant,n.,ì-vól
tranchant,n adj.,à-vól
tranchant,n adj.,ì-və́vôl
tranchant (être_),v.,vól
trancher (sp),v.,sə́m
traîner,v.,bwàdbàn
traîner,v.,dùd
traîner,v.,dùùdà
traîner,v.,dùùdàn
traîner,v.,ndə̀ŋ
étranger,n.,ɲ̀-ɲə́ŋ
transformer (se ),v.,cɛ́nî
transformer (se ),v.,və̀ŋzàn
transitoire,n.,ndòn
transmettre,v.,kàlnà
transmettre (antipassif),v.,dàànì
transmettre (se ),v.,kàlnì
transpercer,v.,tûbnì
transport,n.,mbə̀glə̀
transport,n.,m̀-mə̀glə̀
transport (sp),n.,ì-bànà
transporter,v rés.,bə̀glə̂
traître,n.,ǹ-nə̀mə̀
travail,n.,ì-sá
travail forcé,n.,njɔ́g
travail (sp),n.,kàmá
travail (sp),n.,ŋ̀-kòglò
travail (sp),n.,pùpúlà
travailler,v.,sá
travailleur,n.,m-òd bìsá
travers (de ),adv.,kə́n ꜜgáná
traverser,v.,dàŋ
traverser (faire ),v.,dà
trébucher,v.,vázî
être,v.,nə̀
être agressif,v.,hàm
être chaud,v.,jóŋ
être confortablement assis,v.,mɛ̀zbə̀
être couché (sp),v rés.,bə́mə̂
être d’accord avec,v.,jə́blə̂
être installé confortablement (s’_ ),v rés.,lùmá
être insuffisant,v.,swád
être noir,v.,vín
être (qp.),v rés.,bógô
être rouge,v.,və̀
Treculia africana,n.,ì-tùb
trembler (sp),v.,pògbàn
trembloter,v.,tɔ̀gbàn
tremper,v.,jínî
tremplin,n.,ɲ̀-ɲɔ́ŋ
tressaillir,v.,bùmgàn
tresse,n.,m̀-pɛ̀n
tresser,v.,pɛ̀n
treuil,n.,jə́g
trichome,n.,ɛ̀-vùl
Trichoscypha abut,n.,à-mbǔd
trier,v.,pyàlì
trier,v.,twáb
trier (igname),v.,báŋî
tripes,n.,ɛ̀-swád
Triplochiton scleroxylon,n.,à-jòz
triste,n adj.,à-bé
triste (être_),v.,kùlbà
trois,adj.,-lá
trois,num.,láá
étroit (sp),n adj.,ù-ŋgɔ̀ŋ
étroit (être_),v.,kág
étroit (être à l’ ),v.,pídgân
tromper (se ),v.,vùz
tromperie,n.,ǹ-dùgní
trompette,n.,tɔ́ŋ
tronc,n.,ŋ̀-kùm
tronc (partie),n.,mìŋ-kùg
tronc (sp),n.,ŋ̀-kwǎg
trop,q aux.,dàŋ
trou,n.,ɛ̀-jɔ́ŋ
trou,n.,ì-bé
trou,n.,m̀-mɔ́g
trou,n.,ŋm̀-ŋmǐl
trouble,n adj.,ì-búꜜbúlgí
trouble,n adj.,ì-jə́jûglànà
troubler,v.,búlgânà
troubler,v.,júglânà
troubles,n.,ì-cə̀còm
troupeau,n.,ŋ̀-kùnà
trousseau,n.,ɛ̀-sàŋ
trouver,v.,dìb
trouver,v.,kɔ́b
trouver,v.,sɔ̀m
trouver,v.,swàm
trouver,v.,yɛ́n nâ
trouver (action de ),n.,ù-sɔ̀mì
très,n adj.,à-bwǐ
très peu,n.,ɲ̀-cwànbàn
tsétsé,n.,ù-bòg
tôt (faire ),q aux.,vúlâ
tôt (partir ),v.,kún
tête,n.,ǹ-nó
téter,v.,ɲáŋ
têtu,n.,ndɔ́g
têtu (être_),v.,ndwágbɔ̂
tubercule,n.,kɔ́
tubercule (sp),n adj.,pɔ̀ɔ́m
tuer,v.,wéy
tuer (sp),v.,sìl
étui à flèches,n.,pàd
tuméfié,n adj.,bì-tútúg
tunnel,n.,ì-sàm
turbulence,n adj.,m̀-pə̀bní
turbulent,n adj.,m̀-pə̀bní
turbulent,v.,pə̀bnì
turgescence,n adj.,ɲ̀-cád
tuteur,n.,ǹ-tónô
tuyau,n.,ŋ̀-kɔ́ŋ
tuyau (sp),n.,zɔ́ŋ
type,n.,ì-bə̀gá
type,n.,kán
Uapaca guineensis,n.,à-sám
œuf,n.,ɛ̀-cǐ
ulcère,n.,zòg ɛ̀kùmá
ulcère de buruli,n.,à-tɔ̌m
un,adj.,-mwág
un (1),num.,pwág
uniforme (personne en ),n.,bə̀zìmì
unique (sp),n adj.,m̀-máŋ
unique (sp),n adj.,ǹ-twàd
unir,v.,làd
urine,n.,mə̀-ɲɔ́lgí
uriner,v.,vyé
usé,n adj.,ǹ-síbní
user,v.,cə̀g
usure,n.,cə̀g
utilisé (être_),v.,g͡bɛ̀ɛ̀nì
utilité,n.,m̀-pí
utérus,n.,kòmó
vaccination,n.,mbǎŋ
vache,n.,ɲàg
vaciller,v.,pə̀ŋlə̀
évacuation (sp),n.,ì-bànà
évacuer (eau),v.,lóg
vagabondage,n.,ɛ̀-ndə́ŋ
vagin,n.,mbɛ̌l
vaillant,n adj.,ŋ̀-káŋá
vaincre,v.,bɔ̀b
vaisselle,n.,ù-sò
vandalisme,n.,ɛ̀-tóm
vanité,n.,ì-dɛ̌n
vanner,v.,pə́b
vantard,n.,ù-lùm
vantard,n adj.,bì-jàŋ
vantard,n adj.,bì-vùg
vantard (être_),v.,mə̀m
vantardise,n.,bì-jàŋ
vantardise,n.,ì-ŋgúŋ
vanter,v.,lùgà
vanter,v.,sə̀
vanter,v.,sìg
évaporer (s’_ ),v.,və́bə̂
variole,n.,mbàlmànà
variété,n.,mbɔ̀ŋ
vase,n.,mə̀-lǐb
vase,n.,pɔ̀dɔ̀ pɔ́dɔ́
vase (sp),n.,kúlwàdá
va-t-en-guerres,n.,bɔ̀ g͡běy
éveillé (rester ),v.,və̀ə̀bə̀
veiller,v.,józê
veiller ( sur),v.,bàglà
veine,n.,ɲ̀-cǐz
vendre,v.,kùznì
vendredi,n.,pùláꜜdé
vendredi,n.,ꜜbá
venger,v.,kùn
venger,v.,kùnì
vengeur,n.,ŋ̀-kùnà
venir,v.,sɔ́
venir,v.,zù
vent,n.,ì-vúnî
vent,n.,ì-vúŋlâ
vent,n.,ɲ̀-cùl
vent,n.,pə̀b
éventer,v.,pə́b
ventre,n.,ɛ̀-bùm
ver,n.,ɲ̀-cɔ́ŋ
ver (sp),n.,ɲ̀-ɲìlìg
verbenacée (sp),n.,ì-vúl
verbiage,n.,ù-láŋdânà
vernis à ongles,n.,lélê
vernonie,n.,ɛ̀-tɛ́d
verre,n.,ì-lá
verser,v.,dàbdà
verser,v.,kúb
verser (se faire ),v.,kúbî
verser (sp),v.,lə̀mdə̀
vert,n.,ɲól
verveine des Indes,n.,mə́nàŋà
verveine des Indes,n.,ùsàŋà
vessie,n.,ǹ-tə́g
veste,n.,kód
vestige,n.,ì-líg
veuve,n.,ŋ̀-kúz
véhicule,n.,ì-bígdâ
véhicule (grand),n.,kɔ̀mkɔ̀mɔ̀
viande,n.,tíd
viande de choix,n.,mə́ ꜜzéy
vide,n adj.,ì-vóy
vie,n.,ì-nìŋ
vieillard,n adj.,ɲ̀-ɲǒm
vieille chaussure,n.,ɛ̀-bâg
vieillesse,n.,à-jǒm
vieillir,v.,jòòmbò
vieux,n.,ǹ-tù
vieux,n adj.,ɲ̀-ɲǒm
vigoureux (sp),n adj.,mbə̀m
vigueur,n.,pím
village,n.,à-bàŋ
village,n.,à-tán
village,n.,ǹ-nàm
village (sp),n.,d-àŋ
ville,n.,tíswân
vin,n.,mə̀-jɔ̀g
vin (sp),n.,bì-lám
vin (sp),n.,kpə̀kpàzà njì
violer,v.,tàn
vipère,n.,péy
virage,n.,ɛ̀-kwád
virginité (contrôle de ),n.,m̀-pɛ́lî
visage,n.,à-sú
viscères,n.,bì-sə́g
viser,v.,kɛ̀dnà
viser,v.,lə̀ŋnə̀
visite de pièges,n.,ì-jì
visite (rendre ),v.,tál
visite (sp),n.,cə́
visiteur,n.,ɲ̀-ɲə́ŋ
visqueux (être_),v.,kə̀ŋbə̀
visqueux (être_),v.,lìgdàn
vite,n adj.,à-vól
vite (faire ),q aux.,vúlâ
éviter de justesse,v.,sɛ̀lgə̀
Vitex cienkowski (?),n.,ì-vúl
vivant (être_),v.,və̀ə̀bə̀
vivant (être_),v rés.,və̌
Viverra civetta,n.,zɔ̀y
vivre,v.,nìŋ
événement (sp),n.,bì-dǐm
Voacanga africana,n.,ì-tɔ́
vocifération,n.,mbám
vociférer,v.,bám
voir,v.,yɛ́n
voir (se faire ),v.,yɛ́nî
voiture,n.,mə̀túâ
voix,n.,cíŋ
voix élevée,n.,ì-cígá
voix (sp),n.,ì-ŋmg͡bə̀ŋmg͡bàm
vol,n.,g͡bə́b
voler,v.,jíb
voler,v.,ndə̀m
voleur,n.,ŋm̀-ŋmíꜜŋmíb
volonté,n.,ɲ̀-ɲìní
volontaire,n.,ù-váŋ
volubile,n.,ù-láŋdânà
volume,n.,ɛ̀-bím
volumineux,n adj.,ì-bə̀bə́g
vomir,v.,jó
vomissement,n.,bɔ̀ ndwô
évoquer (sp),v.,sòŋlò
vorace (être_); glouton (être_),v.,kpàgbà
voracité,v.,hə́b
voracité,v.,ŋgə́b
vos,pro.,-èèní
vote,n.,cíŋ
votre,pro.,-èèní
vouloir,v.,jə̀
voyage,n.,d-ùlà
vrai,n adj.,m̀-pàŋ
vrai,n adj.,ɲǎ
vraiment,adv.,pwágɔ́
vraiment,q aux.,kwàgdɔ̀
vérifier,v.,cáz
vrille,n.,ŋ̀-kwǎl
vérité,n.,bə́bɛ́lə́
véritable,n adj.,ɲǎ
vêtement,n.,ɛ̀-ŋgə̀ŋ
vêtement,n.,ì-jə́
vétuste,n adj.,ì-túg
vute,n.,bə̀-búdî
w.c.,n.,ì-dúg
éwondo,n.,kɔ́lɔ́
Xanthosoma sagittifolium,n.,àpǔm ɛ̂bàŋà
xylophone,n.,mə̀-njáŋ
xylophone (sp),n.,ù-mbə́g
Xylopia aethiopica,n.,ì-kwǐ
Yaoundé,n.,ŋgólô
youyou,n.,káálá
Zanthoxylum tessmanni,n.,bòŋó
zébu,n.,kág
zébu,n.,ɲàg
zip,n.,ɲ̀-càg
